x,y,z,vx,vy,vz,m,id
1.2420204,0.30775025,-0.52759504,-0.52319038,-0.27752966,0.28942409,1.56E-05,53
-4.91E-03,3.53E-02,0.11476529,0.19786213,0.34798923,0.49039519,1.56E-05,54
0.39786288,-0.25796643,0.40495792,0.88435835,0.38261342,-0.35811085,1.56E-05,55
0.2651217,-0.27922061,0.303911,0.25777829,0.2460219,0.80155921,1.56E-05,56
-0.54471827,1.3489025,-0.36359933,-2.98E-03,0.39472407,-0.60614663,1.56E-05,57
1.4634396,-0.90952653,1.011416,-6.57E-02,0.1894211,0.502231,1.56E-05,58
1.1087941,-0.54185331,-2.39E-02,-0.13385463,0.27840415,-0.33045363,1.56E-05,59
-0.60728079,-0.90744257,0.72871071,0.126323,0.5356338,0.31201315,1.56E-05,60
0.12921292,-0.3490774,-0.28502551,-3.08E-03,-0.33881837,-0.47351325,1.56E-05,61
0.17814474,0.17376961,-0.19894598,-0.52695018,-0.16451885,0.56281883,1.56E-05,62
-0.93598753,-2.431567,-1.3632797,-5.07E-02,-5.02E-02,-0.11348909,1.56E-05,63
0.19805875,-8.58E-02,-5.62E-02,-0.48543066,-0.2549752,-0.50907272,1.56E-05,64
-0.15445684,0.15841226,4.08E-02,0.79829335,0.17847799,0.712277,1.56E-05,65
1.2916397,-1.653003,-1.2628996,0.1364166,-0.19053431,-0.29447928,1.56E-05,66
0.9497565,0.1212036,-1.2238718,0.30469742,-0.62448621,0.42378181,1.56E-05,67
0.16860931,-0.16884719,-0.23366314,-0.57167238,0.29357466,-3.15E-02,1.56E-05,68
0.57257557,-0.17173123,-0.14241302,-0.23011598,0.61476743,-0.57739776,1.56E-05,69
4.38E-02,0.13037382,7.37E-02,-0.53685713,3.72E-02,-1.0353258,1.56E-05,70
0.22205508,-0.21546705,-0.41595542,0.50285846,-0.12290965,0.3583504,1.56E-05,71
0.89282358,-0.19621091,-4.93E-02,-0.50622129,0.19507934,0.64814329,1.56E-05,72
-0.90457737,0.62848395,-0.61896533,0.4066276,-0.21333241,-0.34122789,1.56E-05,73
0.22636211,0.41433719,3.58E-02,0.43669686,0.11779422,-0.39464268,1.56E-05,74
-0.59910339,-0.27020839,1.03563,0.1287808,0.40991536,-0.16699278,1.56E-05,75
0.15098228,-0.3339285,0.20585588,-6.17E-03,0.47703478,0.32756478,1.56E-05,76
0.24064155,0.31140581,0.3696309,-0.47277316,0.4915542,-1.1106941,1.56E-05,77
6.58E-02,3.75E-02,0.29357043,-0.29646766,-0.4633998,0.63238341,1.56E-05,78
